dataset,folder,model_key,weight_file,root_file,entry_number,n_pixels,out_dir,tag
run1_samples,mpid,mpid,/home/hep/an1522/dark_tridents_wspace/outputs/weights/DM-CNN_model_20260116-10_22_PM_epoch_4_batch_id_1961_labels_2_title_0.001_AG_GN_LM_TRAINING_step_9821.pwf,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_offbeam_larcv_cropped_full_set.root,3132,594,/vols/sbn/uboone/an1522/cam_methods/occlusion/E_disagree/run1_samples/mpid,E_disagree
run1_samples,resnet34_gn,resnet34_gn,/home/hep/an1522/dark_tridents_wspace/outputs/weights/resnet34_gn/resnet34_gn_model_20260123-12_20_AM_epoch_4_batch_id_1961_labels_2_step_9821.pwf,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_NuMI_dirt_larcv_cropped.root,495,54,/vols/sbn/uboone/an1522/cam_methods/occlusion/A_high_tail+C_weird_lowpix/run1_samples/resnet34_gn,A_high_tail+C_weird_lowpix
run1_samples,resnet34_gn,resnet34_gn,/home/hep/an1522/dark_tridents_wspace/outputs/weights/resnet34_gn/resnet34_gn_model_20260123-12_20_AM_epoch_4_batch_id_1961_labels_2_step_9821.pwf,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_NuMI_dirt_larcv_cropped.root,952,331,/vols/sbn/uboone/an1522/cam_methods/occlusion/A_high_tail/run1_samples/resnet34_gn,A_high_tail
run1_samples,resnet34_gn,resnet34_gn,/home/hep/an1522/dark_tridents_wspace/outputs/weights/resnet34_gn/resnet34_gn_model_20260123-12_20_AM_epoch_4_batch_id_1961_labels_2_step_9821.pwf,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_NuMI_dirt_larcv_cropped.root,439,1732,/vols/sbn/uboone/an1522/cam_methods/occlusion/A_high_tail/run1_samples/resnet34_gn,A_high_tail
run1_samples,resnet34_gn,resnet34_gn,/home/hep/an1522/dark_tridents_wspace/outputs/weights/resnet34_gn/resnet34_gn_model_20260123-12_20_AM_epoch_4_batch_id_1961_labels_2_step_9821.pwf,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_NuMI_dirt_larcv_cropped.root,3245,79,/vols/sbn/uboone/an1522/cam_methods/occlusion/A_high_tail/run1_samples/resnet34_gn,A_high_tail
run1_samples,resnet34_gn,resnet34_gn,/home/hep/an1522/dark_tridents_wspace/outputs/weights/resnet34_gn/resnet34_gn_model_20260123-12_20_AM_epoch_4_batch_id_1961_labels_2_step_9821.pwf,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_NuMI_dirt_larcv_cropped.root,414,729,/vols/sbn/uboone/an1522/cam_methods/occlusion/B_border/run1_samples/resnet34_gn,B_border
run1_samples,resnet34_gn,resnet34_gn,/home/hep/an1522/dark_tridents_wspace/outputs/weights/resnet34_gn/resnet34_gn_model_20260123-12_20_AM_epoch_4_batch_id_1961_labels_2_step_9821.pwf,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_NuMI_dirt_larcv_cropped.root,2313,334,/vols/sbn/uboone/an1522/cam_methods/occlusion/B_border/run1_samples/resnet34_gn,B_border
run1_samples,resnet34_gn,resnet34_gn,/home/hep/an1522/dark_tridents_wspace/outputs/weights/resnet34_gn/resnet34_gn_model_20260123-12_20_AM_epoch_4_batch_id_1961_labels_2_step_9821.pwf,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_NuMI_dirt_larcv_cropped.root,2926,4102,/vols/sbn/uboone/an1522/cam_methods/occlusion/B_border+D_busy/run1_samples/resnet34_gn,B_border+D_busy
run1_samples,resnet34_gn,resnet34_gn,/home/hep/an1522/dark_tridents_wspace/outputs/weights/resnet34_gn/resnet34_gn_model_20260123-12_20_AM_epoch_4_batch_id_1961_labels_2_step_9821.pwf,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_NuMI_dirt_larcv_cropped.root,3122,140,/vols/sbn/uboone/an1522/cam_methods/occlusion/B_border/run1_samples/resnet34_gn,B_border
run1_samples,resnet34_gn,resnet34_gn,/home/hep/an1522/dark_tridents_wspace/outputs/weights/resnet34_gn/resnet34_gn_model_20260123-12_20_AM_epoch_4_batch_id_1961_labels_2_step_9821.pwf,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_NuMI_dirt_larcv_cropped.root,705,4916,/vols/sbn/uboone/an1522/cam_methods/occlusion/D_busy/run1_samples/resnet34_gn,D_busy
run1_samples,resnet34_gn,resnet34_gn,/home/hep/an1522/dark_tridents_wspace/outputs/weights/resnet34_gn/resnet34_gn_model_20260123-12_20_AM_epoch_4_batch_id_1961_labels_2_step_9821.pwf,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_NuMI_dirt_larcv_cropped.root,1945,2241,/vols/sbn/uboone/an1522/cam_methods/occlusion/D_busy/run1_samples/resnet34_gn,D_busy
run1_samples,resnet34_gn,resnet34_gn,/home/hep/an1522/dark_tridents_wspace/outputs/weights/resnet34_gn/resnet34_gn_model_20260123-12_20_AM_epoch_4_batch_id_1961_labels_2_step_9821.pwf,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_NuMI_dirt_larcv_cropped.root,247,2500,/vols/sbn/uboone/an1522/cam_methods/occlusion/D_busy/run1_samples/resnet34_gn,D_busy
run1_samples,resnet34_gn,resnet34_gn,/home/hep/an1522/dark_tridents_wspace/outputs/weights/resnet34_gn/resnet34_gn_model_20260123-12_20_AM_epoch_4_batch_id_1961_labels_2_step_9821.pwf,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_NuMI_dirt_larcv_cropped.root,2002,4042,/vols/sbn/uboone/an1522/cam_methods/occlusion/D_busy/run1_samples/resnet34_gn,D_busy
run1_samples,resnet34_gn,resnet34_gn,/home/hep/an1522/dark_tridents_wspace/outputs/weights/resnet34_gn/resnet34_gn_model_20260123-12_20_AM_epoch_4_batch_id_1961_labels_2_step_9821.pwf,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_NuMI_nu_overlay_larcv_cropped.root,4953,1813,/vols/sbn/uboone/an1522/cam_methods/occlusion/A_high_tail/run1_samples/resnet34_gn,A_high_tail
run1_samples,resnet34_gn,resnet34_gn,/home/hep/an1522/dark_tridents_wspace/outputs/weights/resnet34_gn/resnet34_gn_model_20260123-12_20_AM_epoch_4_batch_id_1961_labels_2_step_9821.pwf,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_NuMI_nu_overlay_larcv_cropped.root,7913,3777,/vols/sbn/uboone/an1522/cam_methods/occlusion/A_high_tail+D_busy/run1_samples/resnet34_gn,A_high_tail+D_busy
run1_samples,resnet34_gn,resnet34_gn,/home/hep/an1522/dark_tridents_wspace/outputs/weights/resnet34_gn/resnet34_gn_model_20260123-12_20_AM_epoch_4_batch_id_1961_labels_2_step_9821.pwf,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_NuMI_nu_overlay_larcv_cropped.root,1650,2935,/vols/sbn/uboone/an1522/cam_methods/occlusion/A_high_tail+D_busy/run1_samples/resnet34_gn,A_high_tail+D_busy
run1_samples,resnet34_gn,resnet34_gn,/home/hep/an1522/dark_tridents_wspace/outputs/weights/resnet34_gn/resnet34_gn_model_20260123-12_20_AM_epoch_4_batch_id_1961_labels_2_step_9821.pwf,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_NuMI_nu_overlay_larcv_cropped.root,12411,583,/vols/sbn/uboone/an1522/cam_methods/occlusion/A_high_tail+C_weird_lowpix/run1_samples/resnet34_gn,A_high_tail+C_weird_lowpix
